id,title,year,rating,genre,director,overview,cast
205022,Chennai Express,2013.0,6.5,"Romance, Comedy, Action",Rohit Shetty,"Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route, he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India, an unanticipated drive awaits them.","Shah Rukh Khan, Deepika Padukone, Nikitin Dheer, Sathyaraj, Mukesh Tiwari"
592508,Sooryavanshi,2021.0,5.8,"Action, Crime, Thriller",Rohit Shetty,"A fearless, faithful albeit slightly forgetful Mumbai cop, Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India pulls out all the stops and stunts to thwart a major conspiracy to attack his city.","Akshay Kumar, Katrina Kaif, Javed Jaffrey, Kumud Mishra, Abhimanyu Singh"
11518,Mohabbatein,2000.0,7.0,"Drama, Romance",Aditya Chopra,"At a prestigious all-male university, three friends seek love outside of the school grounds; at the same time, a newly-hired music teacher seeks to befriend and loosen up the militantly strict headmaster.","Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj, Jimmy Shergill"
11854,Kuch Kuch Hota Hai,1998.0,7.5,"Romance, Drama, Comedy",Karan Johar,"Per her mother's last wish, an 8 year old girl sets out to reunite her father with his college best friend who was in love with him.","Shah Rukh Khan, Kajol, Rani Mukerji, Sana Saeed, Farida Jalal"
534780,Andhadhun,2018.0,7.6,"Crime, Mystery, Thriller, Comedy, Music",Sriram Raghavan,A series of mysterious events changes the life of a blind pianist who now must report a crime that was actually never witnessed by him.,"Ayushmann Khurrana, Tabu, Radhika Apte, Manav Vij, Zakir Hussain"
950071,Jaane Jaan,2023.0,7.0,"Crime, Thriller, Drama",Sujoy Ghosh,"When a single mother her teenage daughter becomes ensnared in a deadly crime,  find an unexpected ally in their neighbor, a simple, doting but genius teacher math teacher comes to aid, while a tenacious cop digs into the case.","Kareena Kapoor Khan, Jaideep Ahlawat, Vijay Varma, Naisha Khanna, Saurabh Sachdeva"
12259,Sholay,1975.0,7.0,Action,Ramesh Sippy,"After his family is slain by the notorious bandit Gabbar Singh, former Inspector Thakur Baldev Singh enlists low-level outlaws Jai and Veeru to capture Gabbar and seek revenge.","Dharmendra, Amitabh Bachchan, Sanjeev Kumar, Amjad Khan, Hema Malini"
14072,Rab Ne Bana Di Jodi,2008.0,7.1,"Comedy, Drama, Romance",Aditya Chopra,"A lonely 40-ish man, likely to remain a bachelor, has a chance to find the love of his life when he falls for a vivacious young woman.","Shah Rukh Khan, Vinay Pathak, Anushka Sharma, M. K. Raina, Manmeet Singh"
61202,Zindagi Na Milegi Dobara,2011.0,7.5,"Drama, Comedy, Romance",Zoya Akhtar,"Three friends who were inseparable in childhood decide to go on a three-week-long bachelor road trip to Spain, in order to re-establish their bond and explore thrilling adventures, before one of them gets married. What will they learn of themselves and each other during the adventure?","Hrithik Roshan, Abhay Deol, Farhan Akhtar, Katrina Kaif, Kalki Koechlin"
41517,Ra.One,2011.0,5.7,"Adventure, Action, Science Fiction",Anubhav Sinha,"When the titular antagonist of an action game takes on physical form, it's up to the game's less powerful protagonist to save the world.","Shah Rukh Khan, Arjun Rampal, Kareena Kapoor Khan, Armaan Verma, Tom Wu"
297222,PK,2014.0,7.7,"Comedy, Drama, Science Fiction",Rajkumar Hirani,"A stranger in the city asks questions no one has asked before. Known only by his initials, the man's innocent questions and childlike curiosity take him on a journey of love, laughter and letting go.","Aamir Khan, Anushka Sharma, Saurabh Shukla, Boman Irani, Sushant Singh Rajput"
585268,War,2019.0,6.5,"Action, Thriller, Adventure",Siddharth Anand,"Khalid, entrusted with the task of eliminating former soldier turned rogue Kabir, engages in an epic battle with his mentor who taught him everything.","Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana, Anupriya Goenka"
79464,Rockstar,2011.0,7.2,"Drama, Music, Romance",Imtiaz Ali,"College student Janardhan is a simpleton who desperately seeks inspiration for the musician inside him. Although heartbreak helps him reach his goal, it also leads him to self-destruction.","Ranbir Kapoor, Nargis Fakhri, Shammi Kapoor, Aditi Rao Hydari, Kumud Mishra"
496331,Brahmāstra Part One: Shiva,2022.0,6.6,"Action, Adventure, Fantasy",Ayan Mukerji,"The story of Shiva – a young man on the brink of an epic love, with a girl named Isha. But their world is turned upside down when Shiva learns that he has a mysterious connection to the Brahmāstra... and a great power within him that he doesn’t understand just yet - the power of Fire.","Ranbir Kapoor, Alia Bhatt, Mouni Roy, Amitabh Bachchan, Nagarjuna Akkineni"
960876,Dunki,2023.0,10.0,"Adventure, Comedy, Drama",Rajkumar Hirani,"Four friends from a sleepy little village in Punjab share a common dream: to go to England. Their problem is that they have neither the visa nor the ticket. A soldier alights from a train one day, and their lives change. He gives them a soldier's promise: He will take them to the land of their dreams. What follows is a hilarious and heartwarming tale of a perilous journey through the desert and the sea, but most crucially through the hinterlands of their mind.","Shah Rukh Khan, Taapsee Pannu, Vikram Kochhar, Anil Grover, Boman Irani"
360814,Dangal,2016.0,7.9,"Drama, Family, Comedy",Nitesh Tiwari,"Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.","Aamir Khan, Fatima Sana Shaikh, Sanya Malhotra, Zaira Wasim, Suhani Bhatnagar"
783461,Looop Lapeta,2022.0,6.1,"Action, Comedy, Crime",Aakash Bhatia,"When her boyfriend loses a mobster's cash, Savi races against the clock to save the day — if only she can break out of a curious cycle of dead ends.","Taapsee Pannu, Tahir Raj Bhasin, Shreya Dhanwanthary, Dibyendu Bhattacharya, Rajendra Chawla"
8079,Om Shanti Om,2007.0,7.0,"Comedy, Thriller, Drama",Farah Khan,"Reincarnated 30 years after being killed in a suspicious on-set fire, a small-time actor is determined to punish the person who ignited the blaze.","Shah Rukh Khan, Deepika Padukone, Arjun Rampal, Shreyas Talpade, Kirron Kher"
138122,Student of the Year,2012.0,5.7,"Comedy, Drama, Romance",Karan Johar,Several alumni reminisce about their final year at St. Theresa's College and the events that shaped their lives.,"Sidharth Malhotra, Varun Dhawan, Alia Bhatt, Rishi Kapoor, Sana Saeed"
37737,Kites,2010.0,7.2,"Drama, Action, Romance",Anurag Basu,"A wounded man searches for his sweetheart in the Mexican desert while on the run from the police, bounty hunters, and others.","Hrithik Roshan, Bárbara Mori, Kabir Bedi, Kangana Ranaut, Nicholas Brown"
352173,Drishyam,2015.0,7.7,"Mystery, Thriller, Drama",Nishikant Kamat,A simple street-smart man tries to protect his family from a cop looking for her missing son who was accidently killed by his daughter.,"Ajay Devgn, Tabu, Shriya Saran, Ishita Dutta, Mrunal Jadhav"
85985,Ek Tha Tiger,2012.0,6.1,"Action, Thriller, Romance",Kabir Khan,A top Indian agent is sent to observe the actions of a scientist but the mission complicates when he falls in love with the scientist's Pakistani caretaker.,"Salman Khan, Katrina Kaif, Girish Karnad, Ranvir Shorey, Gavie Chahal"
4254,Kal Ho Naa Ho,2003.0,7.4,"Comedy, Drama, Romance",Nikkhil Advani,An uptight MBA student falls for the charismatic new neighbor who charms her troubled family – but he has a secret that forces him to push her away.,"Shah Rukh Khan, Preity Zinta, Saif Ali Khan, Jaya Bachchan, Sushma Seth"
14194,Dhoom 2,2006.0,6.6,"Drama, Action, Thriller, Crime",Sanjay Gadhvi,"Jai and Ali return, this time on the trail of an international thief who steals priceless artifacts and has chosen Mumbai as his next target.","Hrithik Roshan, Abhishek Bachchan, Aishwarya Rai Bachchan, Uday Chopra, Bipasha Basu"
362045,Bajirao Mastani,2015.0,7.3,"History, Romance, Drama",Sanjay Leela Bhansali,"Peshwa Bajirao married to Kashibai, falls in love with Mastani, a warrior princess in distress. They struggle to make their love triumph amid opposition from his conservative family.","Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas, Tanvi Azmi, Vaibhav Tatwawadi"
444713,Commando 2 -  The Black Money Trail,2017.0,6.1,"Action, Thriller",Deven Bhojani,"India's most wanted Black Money agent, Vicky Chaddha, gets arrested in Malaysia and is kept in a safe house by the Malaysian authorities, along with his wife. A team of four is being sent to Malaysia to bring them to India. Apart from the growth of inter-personal relationships, the mission has quite a few twists and turns on its way. The story follows Karan as he uses his brain and brawn to recover all of the laundered black money.","Vidyut Jammwal, Adah Sharma, Freddy Daruwala, Suhail Nayyar, Thakur Anoop Singh"
14395,Kabhi Alvida Naa Kehna,2006.0,6.4,"Drama, Romance",Karan Johar,"Dev and Maya are both married to different people. Settled into a life of domestic ritual, and convinced that they are happy in their respective relationships, they still yearn for something deeper and more meaningful, which is precisely what they find in each other.","Shah Rukh Khan, Rani Mukerji, Abhishek Bachchan, Preity Zinta, Amitabh Bachchan"
19666,Lagaan: Once Upon a Time in India,2001.0,7.3,"Adventure, Drama, History",Ashutosh Gowariker,"The year is 1893 and India is under British occupation. In a small village, the tyrannical Captain Russell has imposed an unprecedented land tax on its citizens. Outraged, Bhuvan, a rebellious farmer, rallies the villagers to publicly oppose the tax. Russell offers a novel way to settle the dispute: he challenges Bhuvan and his men to a game of cricket, a sport completely foreign to India. If Bhuvan and his men can defeat Russell's team, the tax will be repealed.","Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Suhasini Mulay"
472138,Thugs of Hindostan,2018.0,5.6,"Adventure, Action",Vijay Krishna Acharya,"After the British company’s officer Clive takes over the kingdom of Mirza, Princess Zafira and Khudabaksh aka Azaad form a band of rebel pirates who swear to defeat the English officer and win their freedom back. The British Company in return, hire the wily thug Firangi track Azaad’s gang and thwart his plans.","Amitabh Bachchan, Aamir Khan, Katrina Kaif, Fatima Sana Shaikh, Mohammed Zeeshan Ayyub"
41109,Don 2,2011.0,7.0,"Action, Thriller",Farhan Akhtar,"Having conquered the Asian underworld, crime boss Don sets in motion a plan that will give him dominion over Europe.","Shah Rukh Khan, Priyanka Chopra Jonas, Boman Irani, Kunal Kapoor, Lara Dutta"
185008,Yeh Jawaani Hai Deewani,2013.0,7.3,"Romance, Comedy",Ayan Mukerji,"On a trekking trip, an introverted Naina falls for a charming ex-classmate, whose thirst for adventure drives them apart. Years later, their paths cross again.","Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapur, Kalki Koechlin, Kunaal Roy Kapur"
1209321,Majbooriyan,2023.0,0.0,Drama,Unknown,"When Sonali's 'wild past' resurfaces in the form of raunchy videos and photographs, her happy family life runs the risk of complete devastation! Will this blackmail seal her fate?!","Mahima Gupta, Abhishek Sharma, Prince Mahajan, Pooja Rajpoot, Gurnoor Kaur"
191714,The Lunchbox,2013.0,7.3,"Drama, Romance",Ritesh Batra,"A mistaken delivery in Mumbai's famously efficient lunchbox delivery system (Mumbai's Dabbawallahs) connects a young housewife to a stranger in the dusk of his life. They build a fantasy world together through notes in the lunchbox. Gradually, this fantasy threatens to overwhelm their reality.","Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey, Nasirr Khan"
30066,Gol Maal,1979.0,7.3,Comedy,Hrishikesh Mukherjee,A man's simple lie to secure his job escalates into more complex lies when his orthodox boss becomes suspicious.,"Amol Palekar, Utpal Dutt, Bindiya Goswami, Dina Pathak, Deven Verma"
413543,Dear Zindagi,2016.0,7.1,"Drama, Romance",Gauri Shinde,An unconventional thinker helps a budding cinematographer gain a new perspective on life.,"Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Angad Bedi, Ali Zafar"
885331,Gadar 2,2023.0,6.6,"Action, Drama",Anil Sharma,"When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeete sets out to rescue him and enters a labyrinth from which they both must escape at all costs.","Sunny Deol, Utkarsh Sharma, Ameesha Patel, Simrat Kaur, Manish Wadhwa"
496316,Baaghi 2,2018.0,5.9,"Action, Crime, Adventure, Mystery, Thriller",Ahmed Khan,"A battle-hardened army officer goes in search of his ex-lover's child who is mysteriously kidnapped. Neha reaches out to the only person who can help her with her plight, Ronnie. He goes deep into the underbelly of Goa, facing off against drug lords, menacing Russian henchmen, and blood thirsty animals. Daring stunts, chase sequences, air strikes, bomb blasts and other large-scale action sequences will be done with a bona-fide, larger than life approach, truly making it a spectacle.","Tiger Shroff, Disha Patani, Manoj Bajpayee, Randeep Hooda, Darshan Kumaar"
15917,Devdas,2002.0,7.5,"Drama, Romance",Sanjay Leela Bhansali,"In 1900s India, Calcuttan zamindar Devdas Mukherjee — unable to marry his lover — takes up alcohol and the company of a courtesan to alleviate the pain.","Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Smita Jaykar"
25868,Aladin,2009.0,6.3,"Fantasy, Drama, Romance, Adventure, Comedy",Sujoy Ghosh,"Based in the municipality of Khwaish, abused by his classmates, Aladin Chatterjee, who was orphaned when his parents, Arun and Riya, died in an accident in Siachen Valley, lived with his paternal grandfather until the later's passing. Now alone, grown up, studying in Khwaish University, and still being abused by fellow-college mates, he finds himself smitten by the lovely US Exchange Student, Jasmine. Unable to express his feelings for her, he rubs a lamp that was gifted to him on his birthday, which summons a genie named Genius. He gets 3 wishes, but wastes 2 of them, but on the 3rd one he insists that Genius assist him to win Jasmine's heart without any magical tricks. Hilarious chaos result when everything seems to fail while an immortal and deadly entity, Ringmaster, and his hordes, prepares to confront Genius and Aladin so that he can acquire more magical powers with the help of the lamp on the day of the sighting of a rare comet and the truth behind the death of Aladin's parents.","Riteish Deshmukh, Amitabh Bachchan, Jacqueline Fernandez, Victor Banerjee, Ratna Pathak Shah"
370665,Dilwale,2015.0,6.6,"Crime, Action, Comedy",Rohit Shetty,Raj is a Mafia member. One day he meet a girl (Meera) while chasing by his rival gang and falls in love with her. Later he finds out that this girl is the daughter of the leader of his rival gang. Yet their love story continues until he was shot by his girlfriend upon a deep misunderstanding. After that incident these two lovers lives separate until their siblings fallen in love. With this new love story their paths intertwines again.,"Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon, Boman Irani"
14134,Main Hoon Na,2004.0,6.9,Drama,Farah Khan,"An army major goes undercover as a college student. His mission is both professional and personal: to protect his general's daughter from a radical militant, and to find his estranged half-brother.","Shah Rukh Khan, Sushmita Sen, Suniel Shetty, Zayed Khan, Amrita Rao"
336203,Masaan,2015.0,7.0,Drama,Neeraj Ghaywan,"Four lives intersect along the Ganges: a low caste boy in hopeless love, a daughter ridden with guilt of a sexual encounter ending in a tragedy, a hapless father with fading morality, and a spirited child yearning for a family, long to escape the moral constructs of a small-town.","Richa Chadha, Sanjay Mishra, Vicky Kaushal, Shweta Tripathi Sharma, Vineet Kumar"
1178521,Fire of Love: RED,2023.0,0.0,"Thriller, Mystery",Unknown,A famous novelist Rajveer who gets lost between fiction and reality.,"Shantanu Bhamare, Bharat Dabholkar, Krishna Abhishek, Payal Ghosh, Kamlesh Sawant"
530154,Lust Stories,2018.0,6.3,"Drama, Romance",Anurag Kashyap,An anthology of four stories that sheds light on modern relationships from the viewpoint of the Indian woman.,"Kiara Advani, Radhika Apte, Akash Thosar, Randeep Jha, Bhumi Pednekar"
466550,Drive,2019.0,5.1,"Action, Thriller",Tarun Mansukhani,"A notorious thief allies with a street racer for a grand heist involving an elaborate game of deceit with authorities, who have their own dirty secrets.","Sushant Singh Rajput, Jacqueline Fernandez, Vikramjeet Virk, Sapna Pabbi, Boman Irani"
4435,Aśoka,2001.0,6.4,"Action, Adventure, Drama, History, Romance, War",Santosh Sivan,"A young Prince Asoka works to perfect his skills in battle and also deals with family conflict. During a struggle with one of his step-brothers, his mother urges Asoka to escape to stay alive. While away, Asoka meets Kaurwaki and falls in love, but must use his skills as a warrior to protect her. A dangerous and heartbreaking web of conspiracy follows, which leads Asoka to embrace a Buddhist path.","Shah Rukh Khan, Kareena Kapoor Khan, Hrishitaa Bhatt, Danny Denzongpa, Sooraj Balaji"
17478,Dhoom,2004.0,6.3,"Action, Crime, Drama, Thriller",Sanjay Gadhvi,A gang of bikers headed by the cool-headed and arrogant Kabir is on a robbing spree in Mumbai.  ACP Jai Dixit is put in charge of the case and he recruits a bumbling bike mechanic and racer to help Jai nab them.,"John Abraham, Abhishek Bachchan, Esha Deol, Uday Chopra, Rimi Sen"
135718,OMG: Oh My God!,2012.0,7.2,"Comedy, Drama",Umesh Shukla,A shopkeeper takes God to court when his shop is destroyed by an earthquake.,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Om Puri, Mahesh Manjrekar"
277432,Happy New Year,2014.0,6.1,"Action, Comedy, Crime, Adventure",Farah Khan,Six would-be thieves enter a prestigious dance competition as a cover for their larger goal of pulling off a major heist.,"Shah Rukh Khan, Sonu Sood, Deepika Padukone, Abhishek Bachchan, Boman Irani"
20360,Namastey London,2007.0,6.1,"Comedy, Drama, Romance",Vipul Amrutlal Shah,"On a trip to India, Jasmeet's father forcefully marries her off to Arjun. However, when they return to London, Jasmeet announces her intention of marrying her boyfriend, Charlie Brown.","Akshay Kumar, Katrina Kaif, Rishi Kapoor, Clive Standen, Upen Patel"
314389,Baby,2015.0,6.7,"Action, Thriller",Neeraj Pandey,A nascent elite team of the Indian intelligence system perpetually strives to detect and eliminate terrorists and their plots. Officer Ajay leads his team to destroy one such potentially lethal ploy in their biggest operation yet.,"Akshay Kumar, Anupam Kher, Kay Kay Menon, Rana Daggubati, Danny Denzongpa"
538858,Tumbbad,2018.0,7.6,"Fantasy, Horror",Rahi Anil Barve,"India, 1918. On the outskirts of Tumbbad, a cursed village where it always rains, Vinayak, along with his mother and his brother, care of a mysterious old woman who keeps the secret of an ancestral treasure that Vinayak gets obsessed with.","Sohum Shah, Mohammad Samad, Harsh K., Jyoti Malshe, Dhundiraj Prabhakar Jogalekar"
1211406,Kaisi Ye Dor,2023.0,0.0,"Drama, Family",Sandeep Choudhary,"Set in the backdrop of the spiritual capital of India, Banaras, the essence of relationships which seems to be missing in the present day is brought forth.","Nikhil Pandey, Jashn Agnihotri, Ratna Neelam Pandey, Brijendra Kala, Sunita Rajwar"
381418,Sanam Teri Kasam,2016.0,7.9,"Drama, Romance",Radhika Rao,"Tough ex-convict Inder and traditional mousy Saraswati fall in love and get married, but a tragedy changes their lives forever. The film is a modern rendition of the legends of Shiva-Sati and the novel ""Love Story"" by Eric Segal.","Harshvardhan Rane, Mawra Hocane, Vijay Raaz, Murali Sharma, Manish Chaudhary"
73582,Bodyguard,2011.0,5.2,"Drama, Action, Romance",Siddique,"Lovely Singh is extremely respectful of Mr Rana and his daughter Divya. While appointed as Divya's bodyguard, he falls in love with a girl he has never met, unaware that she is none other than Divya.","Salman Khan, Kareena Kapoor Khan, Hazel Keech, Raj Babbar, Mahesh Manjrekar"
13986,Dil To Pagal Hai,1997.0,6.9,"Drama, Romance, Comedy",Yash Chopra,"Rahul, the director of a successful dance troupe, considers Nisha his best friend, though secretly, she is madly in love with him. He then falls for Pooja, who is engaged to Ajay.","Shah Rukh Khan, Madhuri Dixit, Karisma Kapoor, Akshay Kumar, Farida Jalal"
1018228,Chor Nikal Ke Bhaga,2023.0,7.2,"Crime, Thriller",Ajay Singh,A flight attendant and her boyfriend must steal a cache of diamonds to clear an old debt — but the plan spins into a mayhem when the plane gets hijacked.,"Yami Gautam Dhar, Sunny Kaushal, Sharad Kelkar, Indraneil Sengupta, Barun Chanda"
432527,Padmaavat,2018.0,6.9,"Drama, History, Romance",Sanjay Leela Bhansali,"Rajputana, India, 13th century. The tyrannical usurper Alauddin Khilji, sultan of Delhi, becomes obsessed with Queen Padmavati, wife of King Ratan Singh of Mewar, and goes to great lengths to satisfy his greed for her.","Deepika Padukone, Ranveer Singh, Shahid Kapoor, Jim Sarbh, Aayam Mehta"
560964,Junglee,2019.0,6.7,"Action, Adventure",Chuck Russell,A vet returns home to his father's elephant reserve where he encounters and fights an international poacher's racket.,"Vidyut Jammwal, Pooja Sawant, Asha Bhat, Atul Kulkarni, Makrand Deshpande"
441909,Tiger Zinda Hai,2017.0,6.1,"Action, Adventure, Thriller",Ali Abbas Zafar,"When a group of Indian and Pakistani nurses are held hostage in Iraq by a terrorist organization, a renowned Indian secret agent is drawn out of hiding to rescue them.","Salman Khan, Katrina Kaif, Girish Karnad, Paresh Rawal, Angad Bedi"
814215,Sam Bahadur,2023.0,8.5,"Drama, History, War",Meghna Gulzar,"Based on the life of Sam Manekshaw, who was the Chief of the Army Staff of the Indian Army during the Indo-Pakistani War of 1971, and the first Indian Army officer to be promoted to the rank of Field Marshal.","Vicky Kaushal, Sanya Malhotra, Fatima Sana Shaikh, Mohammed Zeeshan Ayyub, Edward Sonnenblick"
377985,Fan,2016.0,6.3,"Action, Adventure, Thriller",Maneesh Sharma,"A man who bears a striking resemblance to a renowned movie star becomes an obsessive fan, but when his fierce love is spurned by the star, he decides to destroy the star's life and reputation.","Shah Rukh Khan, Deepika Amin, Yogendra Tiku, Shriya Pilgaonkar, Sayani Gupta"
280690,Kick,2014.0,5.7,"Action, Romance, Comedy, Crime",Sajid Nadiadwala,"An adrenaline junkie walks away from a whirlwind romance and embraces a new life as a thief, though he soon finds himself pursued by veteran police officer and engaged in a turf war with a local gangster.","Salman Khan, Jacqueline Fernandez, Randeep Hooda, Nawazuddin Siddiqui, Mithun Chakraborty"
714338,Bulbbul,2020.0,6.7,"Horror, Fantasy, Thriller",Anvita Dutt,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village.","Triptii Dimri, Avinash Tiwary, Rahul Bose, Parambrata Chatterjee, Paoli Dam"
348892,Bajrangi Bhaijaan,2015.0,7.8,"Comedy, Drama, Action",Kabir Khan,A young mute girl from Pakistan loses herself in India with no way to head back. A devoted man with a magnanimous spirit undertakes the task to get her back to her motherland and unite her with her family.,"Salman Khan, Harshaali Malthotra, Nawazuddin Siddiqui, Kareena Kapoor Khan, Sharat Saxena"
15774,Swades,2004.0,7.2,Drama,Ashutosh Gowariker,"A successful Indian scientist returns home to his village to take his nanny back to America with him, and in the process rediscovers his roots.","Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smith Seth, Lekh Tandon"
412090,Jolly LLB 2,2017.0,6.9,"Comedy, Crime",Subhash Kapoor,"A blunt, abrasive and yet oddly compassionate Jagdishwar Mishra aka Jolly, a small-time struggling lawyer who moves from Kanpur to the city of Nawabs to pursue his dream of becoming a big-time lawyer.","Akshay Kumar, Annu Kapoor, Saurabh Shukla, Huma Qureshi, Kumud Mishra"
767377,Dhamaka,2021.0,6.9,"Thriller, Drama, Crime",Ram Madhvani,"When a cynical ex-TV news anchor gets an alarming call on his radio show, he sees a chance for a career comeback — but it may cost his conscience.","Kartik Aaryan, Amruta Subhash, Mrunal Thakur, Soham Majumdar, Vikas Kumar"
15772,Guru,2007.0,6.8,"Drama, Romance",Mani Ratnam,"A villager, Gurukant Desai, arrives in Bombay in 1958, and rises from its streets to become the biggest tycoon in India.","Abhishek Bachchan, Aishwarya Rai Bachchan, Mithun Chakraborty, R. Madhavan, Vidya Balan"
